𦆁|𦝠 糸
𧯘|谷 門 乛 耳 攵
窙|穴 耂 子
𤴅|巛 田 虍 田 皿
㣮|彳 十 冂 丷 干
鈞|金 勹 二
𣲱|火 水
𣣚|大 电 欠
䤤|金 亥
𢖧|彳 Z囊X 口 口 𠀎 𧘇
抩|扌 冉
𩑝|卬 頁
𦎆|羊 爫 寸
鎳|金 自 木
𩸲|魚 亻 吏
𣄴|旡 Z亯X 小
𠶷|立 中 口
渶|氵 艹 央
䪹|不 一 頁
𥬴|𥫗 羊
齀|鼻 瓦
𡥄|子 口
噆|口 旡 旡 曰
𣋉|日 V宷 大
濋|氵 木 木 疋
㢌|广 阝 一 亅 口
蝐|虫 冂 二 目
𪃕|氵 夂 口 鳥
𠅔|亠 邑
㹖|牜 V𢍏 豕
筘|𥫗 扌 口
埛|土 冂 八 口
𧾎|走 罒 一 口 𧘇
𨈺|身 老
裥|衤 门 日
𠋩|亻 亠 日 夊
捨|扌 人 舌
㿫|匕 匕 皮
糭|米 𡕰
鑲|金 亠 口 口 𠀎 𧘇
𦮿|艹 勹 口 力
𦏨|羊 衣 罒 氺
䭸|馬 父
𢟻|赤 攵 心
擽|扌 幺 白 幺 木
𣒔|木 穴 九
币|丿 巾
𥓁|石 囪
𨞂|艹 隹 阝
𦠗|人 人 人
輋|山 大 車
炊|火 欠
𠤏|匕 十
䘑|丿 皿 永
𨲎|镸 日 勿
𨫖|金 亻 日 一 勿
𨑫|辶 尢 丶
墚|土 氵 丶 刀 丶 木
𧍄|虫 亠 八 厶 儿
𢸡|扌 齒
欣|斤 欠
覤|虍 儿 目 儿
𠎨|亻 糹 人 一 口
䂪|石 兆
鰭|魚 老 日
綬|糹 爫 冖 又
匳|匚 人 一 口 口 人 人
𤞞|犭 谷
落|艹 氵 夂 口
於|方 人 ⺀
㭃|木 幺
硅|石 土 土
集|隹 木
𡃊|口 𥝌 尢 丶 匕 日
𤷌|疒 臣 又
𣩵|歹 宀 𠃜 貝
𦝌|⺼ 氵 土 厶
𦩹|舟 爫 臼
𢍓|亠 目 廾
恕|女 口 心
𨏏|車 火 火 舛
𤯸|生 𥫗 ⺼ 力
𣴥|氵 犭 王
㗜|口 玄 田
酟|酉 卜 口
狞|犭 宀 一 亅
𧡯|月 矢 目 儿
𠭣|彑 𧰨 又
䡥|車 宀 谷
𤌋|火 鬼
𪏨|黃 曲 一 口 䒑
𥎦|厂 矢
𡷬|山 山 八 丂
嫮|女 雨 一 丂
𣁵|羊 斗
海|氵 𠂉 母
𩚨|飠 丘
诸|讠 耂 日
𨋾|車 羽
𠗼|冫 丿 戈 卜 一 小
䋾|糹 大 夕 夕
耀|光 羽 隹
𪒃|黑 𢦑 口 一
䌂|糹 尸 至
枅|木 一 廾
𥑖|石 必
㚏|大 廾
預|マ 𠄐 頁
嬒|女 人 一 囗 小 曰
羕|𦍌 永
𠖙|H敢X 冘
讝|言 口 口 厂 乛 耳 攵
𤰙|九 田
猢|犭 十 口 ⺼
𦪇|舟 鹿
𡶩|罒 山
𨤆|酉 𠂒 儿 𠂒 儿 貝
𪎭|麻 黍
䈬|𥫗 氵 甫
暯|日 艹 日 大
𩽜|魚 𡨄 足
𡄶|口 亠 丷 冖 頁
㖹|口 八 刀 皿
霺|雨 彳 HX微
娼|女 日 曰
线|纟 戋
𦓡|麻 而
𠓃|光 小 隹
𨌭|車 水 日
𥠷|禾 V卯 田
談|言 火 火
𢥆|忄 𥫗 立 ZX竜
𤷉|疒 亟
𣮶|毛 日 生
牌|片 卑
𥈌|目 亻 丨 攵 彡
𩼹|V𢍱 与 魚
𡳓|尸 毛 宀 示
𧚏|衤 束
𪋗|鹿 辶 米
䅖|禾 大 电
旙|方 釆 田
𩭫|镸 彡 兩
𨍤|車 宀 工 口
𡁠|口 爾
㓣|人 一 口 刂
除|阝 入 一 朩
奦|矛 攵 力 大
緩|糹 爰
𧪞|言 土 厶 皿
𠏭|亻 耳 又 亻 亻 人
觱|丿 戈 一 口 角
䳳|屮 凵 示 鳥
𥐿|石 斗
煶|火 日 V正
𣞾|木 艹 婁
𡯽|尢 丿 戈 一 口
𥗫|石 目 目 隹
䂀|目 羲
𩥓|爫 臼 馬
樇|木 亻 丨 攵 ⺼
𤫀|卜 冂 一 八 人 目 又 玉
𠾊|口 𠂹 土
閎|門 𠂇 厶
㤑|忄 𠂇 口
墐|土 堇
𠠛|雨 隹 刂
𢞚|耳 火 心
𨢛|穴 乍 酉
踟|𧾷 矢 口
儡|亻 田 田 田
炠|火 甲
𣵰|氵 文 口
㾪|疒 小 丿 目
𦨜|舟 戈
椱|木 复
𠺴|口 艹 夂 口
钸|钅 𠂇 巾
㠻|耂 巾
垺|土 爫 子
𥆡|目 人 一 乛 口
𨗊|辶 耂 日 阝
𢛄|忄 厂 土 土
赉|未 丷 贝
偋|亻 尸 并
濊|氵 止 𣥂 丿 戈 一
𨃹|𧾷 氵 丶 艮
𡽕|山 自 辛
㻔|王 垂
𪕙|鼠 冂 一 口
桛|木 卜 一 一 卜
𠷞|𠂎 丶 卩 丶 十 口
𦺄|艹 𠂎 卩 V皀
鏢|金 襾 示
㝥|P寐X 米
囤|囗 屯
𢗮|心 凵 乂
𨠿|酉 大 人 人
豳|山 豕 豕
併|亻 并
滴|氵 亠 丷 冂 十 口
𦿁|艹 禾 一 口 田
㷾|火 虍 豕
𣼪|八 氵 丿 戈 一 口
䠆|𧾷 長
沉|氵 㓁
𠴈|口 宀 𠂇 厶
𣆋|日 𠂉 小
錌|金 山 厂 干
𤽙|白 由
怖|忄 𠂇 巾
𢔘|彳 乂 𠂇 厶 卩
䦛|門 爫 ZX爭
𠪝|厂 丷 酉 大
邡|方 阝
𦦱|Z春X 臼 干 臼
砦|止 匕 石
㴨|氵 月 䒑 一 大
憫|忄 門 文
萮|艹 人 一 月 刂
𩫉|刀 刀 高
𣠉|木 𥫗 罒 戈 人
𥦈|穴 束
唸|口 人 一 乛 心
离|亠 凵 乂 禸
𡘺|大 丷 干 丸
㪽|一 日 斤
鰾|魚 襾 示
𥭡|𥫗 士 心
藃|艹 高 欠
浈|氵 卜 贝
𥄶|目 𠃌 一 口
勍|Z亯X 小 力
𧖹|丿 皿 豕
鷓|广 V炗 鳥
𦌏|网 鹿
䙚|鳥 衣
櫝|木 士 罒 貝
𠭜|𢑚 又
𢿟|𢏚 口 攴
酠|酉 一 亅 口
𤶐|疒 𠂇 丨 子
幪|巾 艹 冂 一 豕
䟯|𧾷 V𠯑
𠣱|勹 卜 囗 丨 𠄠 丨
𥝩|爫 禾
軵|車 亻 寸
𣺿|氵 山 夂 丰
𣛨|木 H倝X 月
𧙺|衤 𠂆 一 口
㭼|木 水 日
忿|八 刀 心
攃|扌 艹 Z祭X 示
节|艹 卩
𢘅|矛 心
𩜗|飠 夂 田
厌|厂 犬
𡒎|艹 氵 入 一 朩 土
紓|糹 マ 𠄐
骒|马 果
㸕|爪 隹 又
𩡡|禾 日 㡀 攵
𠌗|亻 弋 貝
𨟅|木 木 爻 大 阝
褛|衤 米 女
殜|歹 世 木
𡛊|女 手
𢲞|扌 丰 刀 手
𨵞|門 乖
嘥|口 彳 止 人 卜
𡬧|卜 一 小 寸
𪄫|氵 入 一 朩 鳥
𦙳|⺼ 𠂉 小
𤇲|亻 一 士 火
渵|氵 艹 田
辴|單 辰
𤬹|丿 戈 瓦
岾|山 卜 口
𢇀|幺 尸 工
䭇|飠 勹 士 口
𦖠|耳 火 火
𠱉|口 人 彡
𩏍|ZX五 口 巾 V舀
鉍|金 必
瓎|王 束 𠂊 貝
㧐|扌 又 又
𩂛|雨 亻 寸
𢚢|己 攵 心
捗|扌 止 𣥂
胖|⺼ 半
𧕎|氵 工 コ 木 虫 虫
𧉻|虫 半
𥞵|禾 大 人 人
𥇠|夂 目 目
𩬍|镸 彡 毋
筧|𥫗 目 儿
飦|飠 干
𠅫|亠 爻 爻 几
𥳓|𥫗 禾 ⺌ ⺼
蝯|虫 爰
𩃼|雨 石 八 刀
槰|木 辶 夂 丰
𦦨|爫 臼 火 火
呹|口 丿 夫
𦃈|糹 𦥑 丨 又
㔫|𠂇 匕
𩽿|鱼 夕 夕
𣹔|氵 辶 冂 口
𨪁|金 襾 女
𢢇|忄 冂 二 耳 又
踈|𧾷 束
䴊|𦍌 我 鳥
熍|火 宀 口 丿 口
䂗|石 𠤎
𤑘|V𣎌 氺 火
𪘘|大 人 人 齒
攚|扌 𤇾 口 丿 口
𤗾|片 ⺌ 冂 口 田
𦣛|⺼ 糹 糸 言 心
𡎡|土 甘 木
𧰱|豕 刀 又
𨝚|口 亠 囗 口 邑
閥|門 亻 戈
㐤|九 十 Z具X 八
墧|土 丿 大 口 冂 口
𩶰|魚 夕 夕
紪|糹 止 匕
𠜮|𠂉 母 刂
𢮱|扌 宀 示
𨚉|冄 邑
褲|衤 广 車
䰴|魚 𠂉 乙
炷|火 丶 王
𠵞|𠂒 口 勿
𥼪|米 人 人 人 人 日
𡼾|山 人 一 囗 小 曰
䏁|耳 宀 辛
𪅂|音 十 鳥
摄|扌 耳 又 又
𡋋|氵 几 丶 土
铏|钅 一 廾 刂
㝎|宀 之
寑|宀 亻 HX侵
𦀹|糹 木 寸
𩍢|革 雨 田
籔|𥫗 婁 攵
𢫛|扌 玉
衜|彳 一 一 亅 首
佞|亻 二 女
珡|𤣩 王 人
𩊑|革 羊
𤊺|火 彑 𧰨
𥜻|丿 禸
䋫|糹 爫 ZX爭
𪁬|匕 矢 鳥
杮|木 巿
𥱨|𥫗 Z青X 糸
韹|音 白 王
㙸|土 亻 业 䒑 夫
嫻|女 門 木
𩎞|厶 口 韋
𧃋|⺾ 飠 入 一 朩
罾|罒 丷 囗 小 曰
𩑁|音 爲
𠆂|Z亯X 人 人 丨 人 人 丨
讆|彳 一 一 亅 韋 言
𢼉|厶 口 攵
予|マ 𠄐
𧣐|角 牙
𨨖|𤣩 王 金
𥅃|目 日 一
琏|王 辶 车
𦺙|艹 禾 𠚣 牛
𧛂|衤 囗 十 口
𨛯|宀 且 阝
耗|耒 毛
𪎖|麻 火
䜙|言 日 幺 幺 灬
暘|日 日 一 勿
𦃘|糹 尸 辛
𡘣|大 丣
頧|丿 㠯 頁
𦡰|⺼ 艹 甫 寸
弩|女 又 弓
纨|纟 丸
𪅨|禾 夕 夕 鳥
𠂬|𠂆 巴
𤄜|氵 米 釆 田
誰|言 隹
𢸳|扌 艹 肅
䦲|門 𠂊 厂 八 言
眹|目 䒑 一 大
𤿵|又 又 又 又 皮
𡢼|女 艹 勹 甫
荁|艹 二 曰
𧪡|言 老 日
𩯲|镸 彡 Z春X 臼 心
懂|忄 艹 重
𣢶|至 欠
𦰣|⺾ 亻 氏 一
𣅶|日 亠 八
𣃌|火 火 舛 斤
魑|鬼 亠 凵 乂 禸
幓|巾 厶 厶 厶 人 彡
秒|禾 小 丿
藚|艹 士 罒 貝
𢥝|忄 止 頁 巳 夊
䣜|虍 且 阝
𥴤|𥫗 ⺼ 廴 聿
𨱑|钅 黄
癣|疒 鱼 羊
𥠀|禾 日 生
𡯦|尢 几 木
𥯽|𥫗 亠 丷 一 亅 口
艫|舟 虍 田 皿
鷪|目 目 冖 鳥
䅭|禾 亠 丷 冖
惬|忄 匚 夫 丷
𧚩|禾 𠚣 衣
𩻿|魚 木 人 人 犬
𣏶|木 水
驻|马 丶 王
𣵾|氵 亞
好|女 子
磼|石 隹 木
抁|扌 厶 儿
𦄁|糹 辶 艮
𢞃|忄 糹 工
蔄|艹 門 口
𧦡|言 厂 干
𪘼|束 刂 齒
嘎|口 一 自 戈
窑|穴 缶
𡬐|宀 且 宀 且 宀 且
㾓|疒 口 ⺼
𤎂|面 力 灬
鴔|丿 之 鳥
蚙|虫 人 一 乛
𧵛|貝 一 亅 口
渞|氵 首
𣌠|春 春 春 春
垣|土 二 曰
𩋚|革 勿 心
𡒥|爿 戈 臣 卜 一
麩|麥 夫
𣹝|氵 阝 ⺌ ⺼
𨞳|鼻 阝
𥿜|糹 𠂉 小
䬰|飠 刀 口
澳|氵 V宷 大
𠠲|丿 力
𢲵|扌 Z曹X 曰
鈶|金 厶 口
𡚡|艹 魚 禾 大
捀|扌 夂 丰
𢁂|其 巳
䓅|艹 氵 斤
𠧇|卜 日 十 臼 廾
鏋|金 㒼
𧨶|言 艹 丿 大
𦅣|糹 山 一 丿 土 攵
𩊌|革 立
筐|𥫗 匚 王
𧍫|虫 韋
㡒|巾 𠂆 十 目
峕|山 亠 日
𢇗|广 一 卜
蝘|虫 匸 日 女
𩎻|韋 非
𤏤|禾 乂 𠂇 巾 灬
偢|亻 禾 火
瓥|瓜 豕 虫 虫
㧧|扌 𠫓 V川
齨|齒 臼
胭|⺼ 囗 大
桲|木 孛
𢵴|扌 止 彐 冖 巾
凷|凵 土
𨮜|氵 車 斤 金
飽|飠 勹 巳
𪈁|𥫗 丿 戈 一 口 鳥
䖄|艹 HX漢 隹 灬
𠪆|厂 土 土 寸
𥙭|礻 木 土
猋|犬 犬 犬
貊|豸 一 白
𣀍|十 冖 氺 水 攴
𧟬|襾 丘
𨧔|夕 攴 金
㯽|木 宀 𠃜 貝
嶔|山 金 欠
𢊖|广 氵 㓁 木
𪒚|黍 黑
䠝|𧾷 口 貝
𠴟|口 卝 干 丨
霣|雨 口 貝
𦞚|⺼ 尸 ⺌ ⺼
疤|疒 巴
㪦|宀 一 由 八 攵
𨬝|土 八 土 ⺄ V扌 金
𨓰|辶 疌
怭|忄 必
膬|⺼ 毛 毛 毛
𢔯|彳 束 刂
𦾯|艹 糹 彑 氺
劶|𠂆 一 口 力
𤄖|氵 亠 人 人 朩 隹
𥩵|立 并
砽|石 用
馼|馬 文
㴿|氵 一 亅 頁
𧯴|木 木 一 口 䒑
葅|艹 人 人 且
櫆|木 鬼 斗
𢿈|厶 厶 厶 人 彡 攴
𥐣|石 川
問|門 口
𧎢|虫 弋 貝
鱕|魚 釆 田
䟘|𧾷 亠 几
𠓚|光 艹 門 束 丷
浟|氵 亻 丨 攵
軞|車 毛
𣉡|日 干 廴 丿 土
𣋑|日 艹 世 木
𩍐|革 癶 一 口 䒑
忨|忄 二 儿
𡳪|尸 毛 土 隹
𧟓|衤 口 口 厂 乛 耳 攵
䩱|革 人 一 月 刂
酷|酉 𠂒 口
𣲨|氵 牙
矸|石 干
㓺|虍 文 刂
萀|艹 虍 儿
𪂃|鳥 卑
䜂|訁 白 大 十
掅|扌 青
𡘀|一 亅 口 大
𡘌|止 匕 大
𤊬|火 非
鰐|魚 口 口 一 丂
弒|乂 木 弋 工
箕|𥫗 其
𠆙|N高X 一 亅 夜
辝|厶 口 辛
𤏛|亻 𤰇 火
䪟|巿 又 韭
𩀄|襾 女 隹
眢|夕 㔾 目
𡦩|日 高 子
𨃝|𧾷 彳 走
𥼆|士 𠃜 𠘧 又 米
䘬|衤 戈 十
抯|扌 且
𨬓|金 走 戉
𣆹|日 冖 且
錺|金 艹 方
帼|巾 囗 玉
窿|穴 阝 夂 一 生
𤺴|疒 土 丷 干 卩 又
軇|身 士 乛 工 一 口 寸
𧭠|言 宀 臼 勹 灬
䧉|阝 里
𩆶|雨 亠 口 口 𠀎 𧘇
癌|疒 口 口 口 山
𣔹|木 𠂊 厂 矢
𡣓|女 匚 中 一 貝
䕖|艹 辶 子 丿 糸
懙|忄 V𢍱 与
𤌎|𠄟 門 火
𧠻|目 儿 言
𧎐|虫 禾 火
𡑠|音 戈 土
𣃣|方 皮
鉤|金 勹 口
嵦|山 山 一 口 䒑
秩|禾 丿 夫
𠟭|鼎 刂
𥪼|亠 丷 一 亅 口 亠 丷 一 亅 口
跱|𧾷 士 寸
䣳|酉 𠃌 一 口
當|⺌ 冂 口 田
𩶾|魚 囗 大
𨠔|酉 必
𢔁|彳 土 八 夊
䒀|舟 𥫗 亻 寸
𪌅|麥 內
渇|氵 日 勹 匕
𦣭|亠 丷 冖 臣
𠮊|日 一 寸 耳 又
𨨏|金 氵 皮
醎|酉 丿 戈 一 口
㴑|氵 广 䒑 屮
岐|山 支
𤝅|犭 八 厶
𠰛|山 十 口
𢎚|弓 丶
𧑅|虫 走 戉
訟|言 八 厶
𦛄|亠 凵 乂 肉
唡|口 两
璠|王 釆 田
𨩇|金 十 冂 丷 干
𡶝|山 冂 口
𢐫|弓 米 弓 人 一 乛
㮪|木 工 几 丶 木
𪈯|氵 雨 隹 鳥
洱|氵 耳
𨁲|𧾷 邑
邸|氏 一 阝
㰻|十 一 口 䒑 欠
厺|大 厶
𦯵|艹 白 儿
𠍅|亻 麥
𢋄|广 雋
襉|衤 門 月
呋|口 夫
毊|士 𠃜 𠘧 又 丿 大 口 冂 口
𧋌|Z囊X 虫
𦭫|艸 仺
𡭕|一 小
㫔|日 卜 一
𥽸|米 糹 糸 言
𪅙|束 攵 鳥
汛|氵 卂
𠧞|兆 卜
𣴊|氵 色
韢|韋 𤰔 厶 心
𣍥|月 宀 儿
勤|堇 力
𧃽|艹 广 亻 隹 心
𦼦|艹 丿 戈 𠃌 皿
𠉯|亻 Z妻X 女
𢇮|广 攴
𨾌|于 隹
衳|衤 八 厶
㯒|木 爫 目 儿
䭵|馬 几 丶
櫴|木 束 𠂊 貝
𥽕|米 宀 Z祭X 示
𧚫|衤 青
𡩿|宀 又 又 又 又 土
㧾|扌 勿 心
𤨁|𤣩 一 业 日
䰆|镸 彡 矛 木
梉|木 爿 士
𣖭|木 𡌥
𣖋|木 十 戈 口
霌|雨 V用 口
𦢂|⺼ 业 䒑 夫
搖|扌 V⺼ 缶
𢄘|辶 豕 巾
䶛|歹 刂 齒
𨅛|𧾷 尸 禹
𠺝|口 木 夂 口
钡|钅 贝
簦|𥫗 癶 一 口 䒑
㤨|忄 共
斫|石 斤
𧪳|言 丿 囗 乂 心
耮|耒 𤇾 力
𤘉|牙 囗 儿 一
儸|亻 罒 糹 隹
綻|糹 宀 V正
𡈺|囗 口 貝 人 一 𠕁
㺽|王 不 一
頾|彡 頁 止 匕
臃|⺼ 雍
𦒊|羽 甫 方
𩃠|雨 二 厶 內
楈|木 疋 ⺼
𨜶|䒑 八 皿 阝
囍|十 一 口 䒑 口 十 一 口 䒑 口
駓|馬 不 一
𤆲|水 火
𧝥|衣 亻 馬
𤉚|火 口 欠
滝|氵 立 ZX竜
𦺻|艹 卄 一 ⺼ 攵
镠|钅 羽 人 彡
婪|木 木 女
𢝬|耂 日 心
䏯|⺼ 士 心
𠳱|口 卤
𧂒|艹 火 隹 灬
諵|言 十 冂 丷 干
牺|牜 西
㽼|疒 弓 丨
寿|丰 寸
𨢜|酉 隺
愃|忄 宀 二 曰
蚂|虫 马
𢈅|广 瓜
𧙀|衤 立
垌|土 冂 一 口
𡂎|口 糹 彑 氺
礓|石 三 田 田
麒|鹿 其
㨕|扌 乃 又 皿
𤙯|牜 Z荧X 力
𠜗|乂 𠂇 巾 刂
𥇅|免 目
贛|音 十 夂 工 貝
𦗮|耳 止 止 止
澜|氵 门 束 丷
𢢞|車 凵 𠘧 又 心
𨥱|金 囗 人
𤲚|田 東
別|𠮠 刂
𡼧|山 V尾 牛
𧱓|豕 尢 丶 彡
𪔫|屮 屮 屮 鼓
䂮|丰 刀 石
樵|木 隹 灬
讴|讠 匸 乂
㜷|弓 爾 女
𧩈|言 戶 犬
𨛋|里 阝
墾|豸 艮 土
𢗀|口 心
𣥊|亠 𠃊 止
𥉷|目 丿 戈 卜 一 小
佇|亻 宀 一 亅
𠡉|十 口 力
𤗍|片 宀 夕 㔾
𧇶|虍 儿 春
降|阝 夂 㐄
烎|干 干 火
𩕹|艹 倉 頁
𥢢|禾 中 一 貝
杗|亠 𠃊 木
蓖|艹 丿 囗 乂 匕 匕
𢁙|夂 巾
𪍎|麥 禾 斗
𩶤|魚 𠂒 儿
嗠|爫 子 夂 口
𡛢|女 山 厂
罧|罒 木 木
鳦|鳥 乙
㡩|糹 糸 言 巾
𠕫|V宀 心 心 心
𨫓|金 戈 口 王
药|艹 纟 勹 丶
𣫼|𠂉 母 宀 夕 㔾
淰|氵 人 一 乛 心
𪃔|艹 民 鳥
𢻲|𠃊 人 攴
偹|亻 丨 攵 田
𤧕|王 西 土
𡵻|山 亠 几
𧷾|貝 矛 冂 八 口
𤬫|瓦 卂
魿|魚 人 一 マ
𩏯|韋 艹 甫 寸
𥒪|石 宀 牛
𧑤|丿 未 虫 虫
𣓗|木 勿 日
𤄀|氵 犭 卝 隹 又
計|言 十
䤊|酉 艹 耳
疍|疋 日 一
𦖃|耳 目 儿
𨈂|𧾷 隹 又 隹 又
䒗|艹 𠂉 乙
𩉘|目 目 隹 面
𪈘|Z夢X 歹 匕 鳥
愚|禺 心
𡞡|女 匚 大 人 人
𥅚|目 大 一 丂
醥|酉 襾 示
𣀤|衣 罒 氺 攴
岧|山 刀 口
𥦃|穴 尸 木
礪|石 厂 艹 禺
𤜳|犭 一 巾
𠌮|亻 广 V炗
𢾱|丿 囗 乂 匕 匕 攴
贲|十 廾 贝
䠴|身 立
璷|王 甫 方 攵
𤴈|田 田 田 田 糸
𨐵|辛 辛 必
𧆋|艹 HX漢 隹 火
𡬾|木 一 口 䒑 寸
䟁|走 巛 果
𨞡|人 一 囗 小 曰 邑
𪕂|鼠 𠘧 又
恄|忄 士 口
𨙠|辶 東 東 曰
郏|夫 丷 阝
𣍎|丷 囗 小 曰 二 儿
忑|一 卜 心
㱷|歹 隹 木
硔|石 共
𠉘|亻 几 必
𢻛|卜 囗 必 支
𨷢|門 N微X 丿 土
豜|豕 一 廾
䭞|飠 罒 土 丷 干
矡|矛 目 目 隹 又
𣢑|屮 一 欠
𣲺|氵 叏
𡩨|宀 釆 口
䛫|言 長
𪑬|黑 N高X 一 亅
据|扌 尸 十 口
𩨒|骨 几
𠧵|卜 囗 人 大
𨩨|金 木 日 一
鏹|金 弓 厶 虫
𣉸|日 言 己
廻|廴 囗 口
签|𥫗 人 一 Z兴X
𠖂|冖 九 幺
𨎗|車 日 勿 彡
辆|车 两
䪈|革 辶 中 一 㠯
瀏|氵 H劉X 刂
㑬|亻 女 十 口
𧶗|貝 人 一 乛 口
𡶒|山 弗
𥃯|目 几
萗|艹 宀 示
䌙|糹 黃
折|扌 斤
㖢|口 广 止 匕
𥊹|广 亻 隹 目
鰧|V𣎌 魚
嬩|女 V𢍱 与
窨|穴 音
𨋆|車 互
𠒬|光 戈 口 一
躰|身 本
𢨳|戶 戶
䶲|冉 龜
𨾟|𠂉 十 隹
猹|犭 木 日 一
𩧵|马 士 口
𡲼|尸 毛 亥
蝁|亞 虫
䉃|𥫗 爿 V⺼ 寸
旂|方 人 斤
𨕹|辶 木 二 曰
𧄠|艹 世 木 世 木
𧡍|東 目 儿
㓌|冫 入 王
㪙|果 攵
齑|齐 韭
婓|非 女
緒|糹 耂 日
𢹂|扌 山 雋
𥚥|礻 乚 禾 刂
𧆛|虍 又
臚|⺼ 虍 田 皿
𢵝|扌 犭 艹 田
䳜|入 一 朩 鳥
牣|牜 丶 刀
𩮧|镸 彡 又 又 又 木
𣻮|白 水 山 山
𨷽|門 臣 人 鹵 皿
𨙫|口 阝
駪|馬 𠂒 儿
䕭|艹 土 八 土 火 火
擬|扌 匕 矢 マ 疋
𡃒|口 扌 业 䒑 夫
𦌼|冂 乂 龍
𡑷|土 艹 大 丶 皿
㟶|山 厂 白 小
𧑕|虫 亞 心
鹻|鹵 兼
嵽|山 帶
糼|糹 力
𥗔|石 艹 氵 日 一 勿
暁|日 十 十 十 一 儿
𠜀|七 木 刂
𢎃|弋 日
𧸤|貝 人 一 囗 小 曰
脄|⺼ 𠂇 火
𦊭|冂 人 人 一 口
𦫖|色 白
刎|勿 刂
纑|糹 虍 田 皿
𡼐|氏 日 攵 山
㮓|木 忄 亙
餔|飠 甫
芙|艹 夫
樞|木 匸 口 口 口
㜠|女 山 隹
厣|厂 犬 甲
骩|骨 九
𤁝|氵 門 虫
估|亻 十 口
殳|𠘧 又
𠰲|口 𣎳 丶
𢢵|氵 厂 白 小 心
阶|阝 人 丿 丨
𦺵|艹 耳 又 木
𦛞|⺼ 邑
𨼴|阝 ⺌ 冂 口 田
杀|乂 木
𩦊|馬 𡨄 ⺀
䃅|石 单
𠷇|口 方 𠂉 也
𩟋|飠 𠂊 厂 八 言
罐|缶 卝 隹 口 口
㱒|止 一 亅 口
壕|土 N高X 豕
𢗗|忄 犬
荘|艹 丬 土
𩖖|火 火 页
𣦻|卜 冂 一 又
呢|口 尸 匕
烥|火 臣
𩅧|雨 罒 亻 亻 人
𣷧|氵 丶 不 口
𤮩|Z亯X 日 人 人 干 瓦
魨|魚 屯
𧋦|虫 尸 毛
蓭|艹 广 大 电
𦨓|舟 勹 丶
汲|氵 及
𢥴|忄 口 口 厂 乛 耳 攵
嗷|口 士 方 攵
𡋹|歺 又 土
𩫭|Z亯X 囗 口 口 十 耂 日
鳽|一 廾 鳥
𣛺|木 木 人 氺 卩
𪘁|齒 人 一 口
𨃁|𧾷 貝 才
䆄|禾 亠 囗 口 日 一
𠺆|口 大 镸
看|手 目
袊|衤 人 一 マ
㐍|爫 乙
𠧬|尹 口 卜
𦉂|缶 重
妔|女 亠 几
𪇒|米 青 鳥
𢚖|丷 弔 丿 心
𤻮|疒 亻 隹 心
䰝|鬲 丷 囗 小 曰
𩸛|魚 小 田
𠤟|匕 日 冖 一 亅
錣|金 又 又 又 又
熤|火 羽 立
𨏰|車 亠 丷 冖 車
搭|扌 艹 人 一 口
薬|艹 冫 白 𡿨 木
𢄯|巾 𠂉 母 攵
𧲜|尸 口 辛 象
𨳉|門 乀
𧤛|角 Z春X 禾
嚶|口 貝 貝 女
𡎸|HX漢 土
𣮞|毛 人 舌
簽|𥫗 人 一 口 口 人 人
鶼|兼 鳥
㤿|忄 大 电
𠙁|一 止 几
聅|耳 矢
滆|氵 鬲
𥫶|𥫗 一 丌
𨈣|身 尢 丶
兏|厂 卜 一 儿
𪖢|鼻 土 土
顕|日 业 頁
𥟏|禾 大 一 亅 口
䏘|⺼ 匸 八
楟|木 N高X 一 亅
諞|言 戶 𠕁
㙡|土 彳 HX從
𩣑|馬 宀 女
𥄬|目 五
𣥐|止 人 人
寨|𡨄 木
𤈶|火 口 贝
𡣪|女 辶 亠 丷 冂 十 口
𪋮|鹿 V𢍱 与
乱|V𠯑 乚
𧕿|非 虫 虫 虫
𩕷|虍 隹 頁
珸|王 五 口
𥛾|礻 人 人 人 人 日
𤳏|田 田 田 一
𥢹|禾 白 方 攵
蠀|虫 二 欠 貝
䬂|風 戉
澅|氵 V聿 田 一
𦏗|Z學X 𦍌 灬
𧔭|丷 西 人 虫 虫
𧇼|口 丂 虍 一 口 䒑
㺏|犭 婁
逐|辶 豕
匒|勹 艹 人 一 口
瞕|目 音 十
𥎮|矢 厂 又
莝|艹 土 人 人
𢈜|广 爿 士
䚟|角 日 一 寸
𤏅|Z亯X 小 尢 丶 灬
笢|𥫗 民
𨯠|金 Z夢X 目
𡖩|彐 彐 夕 夕
䨬|雨 氵 木 木
溯|氵 䒑 屮 月
𤭜|禾 𠚣 瓦
𡤶|女 糹 糸 言 弓
㶹|火 工 水
𧤵|角 臣 又 土
鼺|鼠 田 田 田
𩳲|鬼 亻 夕 夕
刼|土 厶 刄
𧚿|耳 又 衣
𧵊|貝 甘
𤗝|片 臾
𠳃|口 工 水
苇|艹 韦
𢅆|巾 艹 日 月
䗉|虫 日 曰
𤞶|犭 㓁 干
穌|魚 禾
𨭗|金 人 一 囗 小 曰
𦀸|糹 白 儿
𩑈|音 广 黃
䥖|金 丷 酉 大
淙|氵 宀 示
𣛥|木 非 心
𥝤|禾 勿
𣳣|水 尸 九
鹤|隺 鸟
兦|𠃊 入
痩|疒 申 又
𦴽|艹 扌 入 王
𠯭|口 日
𥂓|麻 皿
